="",="count",="mean",="sd",="min",="max"
="WTP for 584, tasting first",="33",="2.64",="0.77",="0.75",="4.50"
="WTP for 793, tasting first",="33",="2.78",="0.81",="1.25",="4.50"
="WTP for 584 after information, tasting first",="33",="2.82",="0.81",="0.00",="4.50"
="WTP for 793 after information, tasting first",="33",="2.48",="0.88",="0.00",="4.50"
="WTP for 584, information first",="36",="3.04",="0.60",="2.00",="4.75"
="WTP for 793, information first",="36",="2.40",="0.83",="0.00",="4.00"
="WTP for 584 after information first, then tasting",="36",="2.73",="0.81",="0.00",="4.00"
="WTP for 793 information first, then tasting",="36",="2.90",="0.65",="2.00",="4.50"
="Certainty in WTP for 584, tasting first",="33",="1.82",="0.68",="1.00",="3.00"
="Certainty in WTP for 793, tasting first",="33",="1.70",="0.68",="1.00",="3.00"
="Certainty in WTP for 584 after information, tasting first",="33",="1.64",="0.65",="1.00",="3.00"
="Certainty in WTP for 793 after information, tasting first",="33",="1.88",="0.70",="1.00",="3.00"
="Certainty in WTP for 584, information first",="36",="1.47",="0.51",="1.00",="2.00"
="Certainty in WTP for 793, information first",="36",="1.69",="0.75",="1.00",="3.00"
="Certainty in WTP for 584 information first, then tasting",="35",="1.57",="0.56",="1.00",="3.00"
="Certainty in WTP for 793 information first, then tasting",="36",="1.42",="0.50",="1.00",="2.00"
="584 flavor liking",="69",="6.49",="1.71",="1.00",="9.00"
="793 flavor liking",="69",="7.14",="1.73",="1.00",="9.00"
="584 sweetness liking",="69",="6.39",="1.71",="1.00",="9.00"
="793 sweetness liking",="69",="6.90",="1.69",="1.00",="9.00"
="Importance of sugar level",="141",="3.61",="1.22",="1.00",="5.00"
="Importance of flavor",="141",="4.13",="0.67",="2.00",="5.00"
="Importance of sweetness",="141",="3.71",="0.79",="2.00",="5.00"
="Importance of functional ingredients",="141",="3.60",="1.09",="1.00",="5.00"
="Magnesium information was new",="33",="2.97",="1.05",="1.00",="5.00"
="Magnesium information was useful",="33",="3.85",="1.12",="1.00",="5.00"
="Magnesium information was new",="36",="3.19",="1.09",="1.00",="5.00"
="Magnesium information was useful",="36",="3.89",="1.01",="1.00",="5.00"
="Days per week of 30+ min of moderate to vigourous physical activity",="141",="2.80",="0.87",="1.00",="4.00"
="Before exercise",="141",="0.18",="0.38",="0.00",="1.00"
="During exercise",="141",="0.30",="0.46",="0.00",="1.00"
="After exercise",="141",="0.58",="0.50",="0.00",="1.00"
="With hot weather / heat exposure",="141",="0.70",="0.46",="0.00",="1.00"
="When sick or recovering from illness",="141",="0.55",="0.50",="0.00",="1.00"
="As a daily hydration drink",="141",="0.25",="0.43",="0.00",="1.00"
="Other",="141",="0.04",="0.19",="0.00",="1.00"
="Selected Blueberry",="141",="0.39",="0.49",="0.00",="1.00"
="Selected Berry blend",="141",="0.44",="0.50",="0.00",="1.00"
="Selected Fruit Punch",="141",="0.58",="0.50",="0.00",="1.00"
="Selected Grape",="141",="0.23",="0.42",="0.00",="1.00"
="Selected Lemon Lime",="141",="0.68",="0.47",="0.00",="1.00"
="Selected Orange",="141",="0.38",="0.49",="0.00",="1.00"
="Selected Pineapple",="141",="0.39",="0.49",="0.00",="1.00"
="Selected None of them",="141",="0.01",="0.08",="0.00",="1.00"
="Selected Other flavor",="141",="0.13",="0.34",="0.00",="1.00"
