StartDate,Start Date
EndDate,End Date
Status,Response Type
IPAddress,IP Address
Progress,Progress
Duration (in seconds),Duration (in seconds)
Finished,Finished
RecordedDate,Recorded Date
ResponseId,Response ID
RecipientLastName,Recipient Last Name
RecipientFirstName,Recipient First Name
RecipientEmail,Recipient Email
ExternalReference,External Data Reference
LocationLatitude,Location Latitude
LocationLongitude,Location Longitude
DistributionChannel,Distribution Channel
UserLanguage,User Language
consent,"I have read (or someone has read to me) this form, and I am aware that I am being asked to participate in a research study. I have had the opportunity to ask questions and have had them answered to my satisfaction. I am not giving up any legal rights by signing this form."
con_freq,"How often do you usually drink sport beverages, such as Gatorade, Powerade, BodyArmor, or similar products?"
con_situation _1,In which situations do you MOST OFTEN drink sports beverages? Select all that apply. - Selected Choice - Before exercise
con_situation _2,In which situations do you MOST OFTEN drink sports beverages? Select all that apply. - Selected Choice - During exercise
con_situation _3,In which situations do you MOST OFTEN drink sports beverages? Select all that apply. - Selected Choice - After exercise
con_situation _4,In which situations do you MOST OFTEN drink sports beverages? Select all that apply. - Selected Choice - With hot weather / heat exposure
con_situation _5,In which situations do you MOST OFTEN drink sports beverages? Select all that apply. - Selected Choice - When I am sick or recovering from illness
con_situation _6,In which situations do you MOST OFTEN drink sports beverages? Select all that apply. - Selected Choice - As a daily hydration drink
con_situation _7,"In which situations do you MOST OFTEN drink sports beverages? Select all that apply. - Selected Choice - Other, please specify"
con_situation _7_TEXT,"In which situations do you MOST OFTEN drink sports beverages? Select all that apply. - Other, please specify - Text"
exercise,"On a typical week, how many days do you do at least 30 minutes of moderate to vigorous physical activity?"
flavor_pref1_1,You are in the grocery store looking in the cold beverage cooler. These flavors are all stocked on the shelves. Which of these flavors are you likely to choose? Select all that apply. - Selected Choice - Blueberry
flavor_pref1_2,You are in the grocery store looking in the cold beverage cooler. These flavors are all stocked on the shelves. Which of these flavors are you likely to choose? Select all that apply. - Selected Choice - Berry blend
flavor_pref1_3,You are in the grocery store looking in the cold beverage cooler. These flavors are all stocked on the shelves. Which of these flavors are you likely to choose? Select all that apply. - Selected Choice - Fruit Punch
flavor_pref1_4,You are in the grocery store looking in the cold beverage cooler. These flavors are all stocked on the shelves. Which of these flavors are you likely to choose? Select all that apply. - Selected Choice - Grape
flavor_pref1_5,You are in the grocery store looking in the cold beverage cooler. These flavors are all stocked on the shelves. Which of these flavors are you likely to choose? Select all that apply. - Selected Choice - Lemon Lime
flavor_pref1_6,You are in the grocery store looking in the cold beverage cooler. These flavors are all stocked on the shelves. Which of these flavors are you likely to choose? Select all that apply. - Selected Choice - Orange
flavor_pref1_7,You are in the grocery store looking in the cold beverage cooler. These flavors are all stocked on the shelves. Which of these flavors are you likely to choose? Select all that apply. - Selected Choice - Pineapple
flavor_pref1_8,You are in the grocery store looking in the cold beverage cooler. These flavors are all stocked on the shelves. Which of these flavors are you likely to choose? Select all that apply. - Selected Choice - None of them
flavor_pref1_9,You are in the grocery store looking in the cold beverage cooler. These flavors are all stocked on the shelves. Which of these flavors are you likely to choose? Select all that apply. - Selected Choice - I have another favorite flavor. Please specify below:
flavor_pref1_9_TEXT,You are in the grocery store looking in the cold beverage cooler. These flavors are all stocked on the shelves. Which of these flavors are you likely to choose? Select all that apply. - I have another favorite flavor. Please specify below: - Text
flavor_pref2,What is the flavor that you like the MOST among your choices above? - Selected Choice
flavor_pref2_9_TEXT,What is the flavor that you like the MOST among your choices above? - I have another favorite flavor. Please specify below: - Text
pref_flavor,"How important are the following statements to you when you consume sports beverages? - ""The flavor tastes good to me."""
pref_sweet,"How important are the following statements to you when you consume sports beverages? - ""The sweetness level is about right to me."""
pref_sugar,"How important are the following statements to you when you consume sports beverages? - ""The amount of sugar per serving is low to moderate."""
pref_ingred,"How important are the following statements to you when you consume sports beverages? - ""The drink contains ingredients that support performance and/or recovery."""
pref_health,"How important are the following statements to you when you consume sports beverages? - ""The drink claims health benefit in general."""
label_habit_loyal,"How much do you agree with the following statements?



"" When I purchase sports beverages, ... - ... I go to the brand I always buy."""
label_habit_read,"How much do you agree with the following statements?



"" When I purchase sports beverages, ... - ... I usually read the nutrition fact labels before purchasing."""
label_habit_ingred,"How much do you agree with the following statements?



"" When I purchase sports beverages, ... - ... I look for specific functional ingredients for physiological benefits of hydration, energy, recovery or performance stimulation. """
preknow_vitd,"How much do you agree with the following statements related to vitamins and minerals?

""I am aware of specific benefits of ..."" - Vitamin D"
preknow_vitc,"How much do you agree with the following statements related to vitamins and minerals?

""I am aware of specific benefits of ..."" - Vitamin C"
preknow_calc,"How much do you agree with the following statements related to vitamins and minerals?

""I am aware of specific benefits of ..."" - Calcium"
preknow_iron,"How much do you agree with the following statements related to vitamins and minerals?

""I am aware of specific benefits of ..."" - Iron"
preknow_pota,"How much do you agree with the following statements related to vitamins and minerals?

""I am aware of specific benefits of ..."" - Potassium"
preknow_5_magn,"How much do you agree with the following statements related to vitamins and minerals?

""I am aware of specific benefits of ..."" - Magnesium"
wtp_1,"You are in the grocery store looking in the cold beverage cooler, and you see a new sports beverage. What is the most you are willing to pay for a 20-oz bottle of the new sports beverage? For reference, a typical 20-oz bottle of sports beverage costs about $2.50."
