Variable,count,mean,sd,min,max
Baseline willingness to pay,140,3.039,0.673,1.75,4.75
"WTP for 584, tasting first",32,2.625,0.775,0.75,4.5
"WTP for 793, tasting first",32,2.812,0.801,1.25,4.5
"WTP for 356, tasting first",37,2.757,0.849,0,4.5
"WTP for 831, tasting first",37,2.568,0.742,0,4
"WTP for 584 after information, tasting first",32,2.812,0.823,0,4.5
"WTP for 793 after information, tasting first",32,2.492,0.892,0,4.5
"WTP for 356 after information, tasting first",37,2.98,0.877,0,4.5
"WTP for 831 after information, tasting first",37,2.811,0.875,0,4.75
"WTP for 584, information first",36,3.042,0.602,2,4.75
"WTP for 793, information first",36,2.396,0.827,0,4
"WTP for 356, information first",35,2.536,0.854,0,4
"WTP for 831, information first",35,2.786,0.539,1.5,4
"WTP for 584 after tasting, information first",36,2.729,0.809,0,4
"WTP for 793 after tasting, information first",36,2.903,0.65,2,4.5
"WTP for 356 after tasting, information first",35,2.379,0.922,0,4.25
"WTP for 831 after tasting, information first",35,2.593,0.881,0,4
584 flavor liking,68,6.5,1.723,1,9
793 flavor liking,68,7.191,1.704,1,9
356 flavor liking,72,6.583,1.882,1,9
831 flavor liking,72,6.375,2.159,1,9
