yearmonth,alcohol,drink_cb,drink_mass,drink_nab,naboption_bar,naboption_rest,naboption_home,eatout,wtp_1,sure_1,overall_1,appear_1,aroma_1,flavor_1,body_1,bitter_1,hops_1,wtp_2b_1st,sure_2b_1st,overall_2,appear_2,aroma_2,flavor_2,body_2,bitter_2,hops_2,wtp_2b_2nd,sure_2b_2nd,wtp_3b_843,wtp_3b_315,sure_3b,wtp_2a_843,wtp_2a_315,sure_2a,wtp_3a_843,sure_3a_843,wtp_3a_315,sure_3a_315,gender,age_old,edu,income,randomizer,d315_1st,dtaste_1st,wtp_3_843,wtp_3_315,wtpdiff315_31,wtpdiff843_31,overall_315,appear_315,aroma_315,flavor_315,body_315,bitter_315,hops_315,overall_843,appear_843,aroma_843,flavor_843,body_843,bitter_843,hops_843,dmale,age,eatout,nab_never,alcohol,dep_1_wtp,,,,,,,,,,,,,,,
202503,1,5,2,1,1,1,1,3,6,3,6,5,7,4,7,2,3,5,2,7,5,8,6,7,3,3,5.5,2,5,5,2,,,,,,,,2,2,3,-999,1,0,1,5,5,-1,-1,7,5,8,6,7,3,3,6,5,7,4,7,2,3,0,25,3.5,1,1,,,,,,,,,,,,Confidence Intervals,,,,
202503,1,5,4,2,1,1,1,3,4.5,3,7,7,7,7,7,2,2,,,3,6,6,3,3,4,4,,,,,,4.5,4,3,4.5,2,4,3,2,4,3,3,3,0,0,4.5,4,-0.5,0,3,6,6,3,3,4,4,7,7,7,7,7,2,2,0,45,3.5,0,1,,,,,,,,,,,,,(column J),(column AX),(column BE),
202503,1,3,1,1,2,1,1,4,4,2,6,8,7,6,6,3,3,,,7,8,7,6,7,3,3,,,,,,0,0,2,4,2,4,2,2,5,4,3,3,0,0,4,4,0,0,7,8,7,6,7,3,3,6,8,7,6,6,3,3,0,55,6,1,1,,,,,,,,,,,,,,,,
202503,1,4,2,2,1,1,2,4,7,2,8,8,9,8,7,3,3,,,6,7,5,6,7,3,2,,,,,,7,7,3,6,3,7.5,2,1,3,5,6,4,1,0,6,7.5,0.5,-1,8,8,9,8,7,3,3,6,7,5,6,7,3,2,1,35,6,0,1,,,,,,,,,,,,,wtp_1,overall_315,overall_843,
202503,1,2,2,1,4,3,1,5,7,3,9,8,8,9,6,2,3,,,4,9,5,4,6,2,4,,,,,,7,7,3,0,,6.5,3,1,2,2,6,4,1,0,0,6.5,-0.5,-7,9,8,8,9,6,2,3,4,9,5,4,6,2,4,1,25,11,1,1,,,,,,,,,,,,"Confidence Level, 1-a=",0.95,0.95,0.95,
202503,1,5,2,4,3,2,2,2,5,2,8,8,8,6,8,3,3,5,3,7,8,6,7,7,2,2,5,3,5,4.5,3,,,,,,,,1,4,4,4,2,1,1,5,4.5,-0.5,0,8,8,8,6,8,3,3,7,8,6,7,7,2,2,1,45,1.5,0,1,,,,,,,,,,,,alpha=,0.05,0.05,0.05,
202503,1,4,4,2,2,1,1,2,4.5,2,4,5,3,4,5,4,2,,,6,7,6,6,5,3,2,,,,,,4.5,4.5,2,4,2,4.5,2,2,4,5,5,3,0,0,4,4.5,0,-0.5,6,7,6,6,5,3,2,4,5,3,4,5,4,2,0,45,1.5,0,1,,,,,,,,,,,,sample size n=,108,108,108,
202503,1,5,2,2,3,2,3,4,4,2,7,8,7,6,7,2,3,5,3,6,8,7,6,8,3,3,5,3,5,5,3,,,,,,,,1,3,3,3,1,0,1,5,5,1,1,6,8,7,6,8,3,3,7,8,7,6,7,2,3,1,35,6,0,1,,,,,,,,,,,,"sample mean, xbar=",4.241,6.111,5.704,
202503,1,2,1,1,2,2,1,2,6,2,7,8,4,7,5,3,2,6.5,2,7,6,6,7,5,3,3,6.5,2,6.5,6.5,2,,,,,,,,1,5,5,6,2,1,1,6.5,6.5,0.5,0.5,7,8,4,7,5,3,2,7,6,6,7,5,3,3,1,55,1.5,1,1,,,,,,,,,,,,"sample sd, sx=",2.131,1.901,1.794,
202503,1,4,3,1,4,3,1,4,2,3,3,8,4,2,5,4,4,2,3,5,6,5,6,5,4,2,2,3,0,2,3,,,,,,,,2,3,5,2,1,0,1,0,2,0,-2,5,6,5,6,5,4,2,3,8,4,2,5,4,4,0,35,6,1,1,,,,,,,,,,,,t critical value=,1.982,1.982,1.982,
202503,1,1,2,2,2,2,2,3,5,3,3,8,7,2,6,4,4,,,2,6,6,2,6,5,4,,,,,,5,5,3,5,3,5,3,2,3,5,4,3,0,0,5,5,0,0,2,6,6,2,6,5,4,3,8,7,2,6,4,4,0,35,3.5,0,1,,,,,,,,,,,,margin of error = ,0.406,0.363,0.342,
202503,1,3,2,1,3,3,2,4,4,3,7,9,9,4,9,5,4,,,8,9,7,7,9,3,3,,,,,,4,4,3,5,3,4,3,2,2,4,2,4,1,0,5,4,0,1,7,9,9,4,9,5,4,8,9,7,7,9,3,3,0,25,6,1,1,,,,,,,,,,,,"CI, Lower Limit =",3.834,5.748,5.361,
202503,1,3,4,1,2,4,5,4,2,2,7,8,7,7,8,3,4,,,5,8,3,5,8,4,2,,,,,,5,4,2,2,1,5,2,3,2,3,2,4,1,0,2,5,3,0,7,8,7,7,8,3,4,5,8,3,5,8,4,2,0,25,6,1,1,,,,,,,,,,,,"CI, Upper Limit=",4.647,6.474,6.046,
202503,1,4,3,5,5,3,5,2,8,2,8,8,7,8,7,3,3,,,2,3,4,2,5,1,2,,,,,,8,8,2,2,2,6,3,2,5,5,5,4,1,0,2,6,-2,-6,8,8,7,8,7,3,3,2,3,4,2,5,1,2,0,55,1.5,0,1,,,,,,,,,,,,Hypothesis Testing with a single sample:,,,,
202503,1,4,3,1,1,1,1,2,4,3,7,7,8,7,6,2,3,4,3,4,4,3,3,6,4,2,2,3,2,4,3,,,,,,,,1,2,4,6,2,1,1,2,4,0,-2,7,7,8,7,6,2,3,4,4,3,3,6,4,2,1,25,1.5,1,1,,,,,,,,,,,,Null Hypothesis mu=,6,6,6,
202503,1,4,2,1,1,1,1,2,4,2,6,8,5,3,6,2,4,,,7,8,5,7,7,2,3,,,,,,4,4,2,4,3,4,2,1,2,5,1,3,0,0,4,4,0,0,7,8,5,7,7,2,3,6,8,5,3,6,2,4,1,25,1.5,1,1,,,,,,,,,,,,2-sided or 1-sided H1?,2,2,2,
202503,1,3,3,1,4,4,4,3,4.5,3,8,8,7,8,8,3,3,4.5,3,7,8,7,7,7,2,3,4,3,6,6.5,3,,,,,,,,1,4,5,3,1,0,1,6,6.5,2,1.5,7,8,7,7,7,2,3,8,8,7,8,8,3,3,1,45,3.5,1,1,,,,,,,,,,,,t test statistics,-8.581,0.607,-1.716,
202503,1,3,3,1,1,1,1,2,6,2,4,7,4,2,6,5,2,6,2,6,6,6,6,6,2,3,6,2,6,8,2,,,,,,,,1,3,3,5,1,0,1,6,8,2,0,6,6,6,6,6,2,3,4,7,4,2,6,5,2,1,35,1.5,1,1,,,,,,,,,,,,t critical value=,1.982,1.982,1.982,
202503,1,5,5,1,2,1,1,2,6,3,7,8,8,7,9,3,3,,,7,8,9,6,8,4,4,,,,,,6.5,5,3,6.5,3,5,3,1,2,3,5,3,0,0,6.5,5,-1,0.5,7,8,9,6,8,4,4,7,8,8,7,9,3,3,1,25,1.5,1,1,,,,,,,,,,,,conclusion,Reject Ho,Do Not Reject Ho,Do Not Reject Ho,
202503,1,5,5,2,1,1,1,3,0,,7,5,4,7,5,2,3,,,7,7,6,6,5,2,3,,,,,,4,4.5,1,4,2,4.5,2,1,2,3,6,3,0,0,4,4.5,4.5,4,7,7,6,6,5,2,3,7,5,4,7,5,2,3,1,25,3.5,0,1,,,,,,,,,,,,p-value,0.000,0.545,0.089,
202503,1,3,3,2,2,2,3,4,4.5,3,7,7,8,6,6,2,3,,,6,6,6,6,3,2,4,,,,,,5.5,,2,4.5,3,5,3,1,2,3,6,3,0,0,4.5,5,0.5,0,6,6,6,6,3,2,4,7,7,8,6,6,2,3,1,25,6,0,1,,,,,,,,,,,,conclusion,Reject Ho,Do Not Reject Ho,Do Not Reject Ho,
202503,1,4,5,1,1,1,3,2,5,1,7,8,9,6,4,1,3,6,3,4,9,5,3,4,2,2,4.5,2,5,7,3,,,,,,,,1,2,3,2,2,1,1,5,7,2,0,7,8,9,6,4,1,3,4,9,5,3,4,2,2,1,25,1.5,1,1,,,,,,,,,,,,,,,,
202503,1,3,3,1,1,1,1,2,0,,6,8,4,6,6,2,3,0,,4,7,4,4,6,4,4,0,,0,0,2,,,,,,,,2,2,3,1,1,0,1,0,0,0,0,4,7,4,4,6,4,4,6,8,4,6,6,2,3,0,25,1.5,1,1,,,,,,,,,,,,,,,,
202503,1,5,5,1,1,1,1,2,2,2,7,8,8,6,7,3,2,2,2,8,7,5,8,9,3,3,2,2,5,2,2,,,,,,,,1,2,3,2,2,1,1,5,2,0,3,7,8,8,6,7,3,2,8,7,5,8,9,3,3,1,25,1.5,1,1,,,,,,,,,,,,,,,,
202503,0,3,4,1,1,1,1,2,2,3,7,7,6,6,8,2,3,4,3,2,6,1,2,6,1,3,4,3,2,2,3,,,,,,,,1,2,4,6,2,1,1,2,2,0,0,7,7,6,6,8,2,3,2,6,1,2,6,1,3,1,25,1.5,1,0,,,,,,,,,,,,,,,,
202503,1,2,2,1,1,2,1,2,5,3,4,6,5,4,8,2,4,4,3,7,8,6,7,8,1,3,5.5,3,7,5,3,,,,,,,,2,2,4,5,2,1,1,7,5,0,2,4,6,5,4,8,2,4,7,8,6,7,8,1,3,0,25,1.5,1,1,,,,,,,,,,,,,,,,
