StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,con_freq,con_situation _1,con_situation _2,con_situation _3,con_situation _4,con_situation _5,con_situation _6,con_situation _7,con_situation _7_TEXT,exercise,flavor_pref1_1,flavor_pref1_2,flavor_pref1_3,flavor_pref1_4,flavor_pref1_5,flavor_pref1_6,flavor_pref1_7,flavor_pref1_8,flavor_pref1_9,flavor_pref1_9_TEXT,flavor_pref2,flavor_pref2_9_TEXT,pref_flavor,pref_sweet,pref_sugar,pref_ingred,pref_health,label_habit_loyal,label_habit_read,label_habit_ingred,preknow_vitd,preknow_vitc,preknow_calc,preknow_iron,preknow_pota,preknow_5_magn,wtp_1,sure_1,sensory_584_overall,sensory_584_appear,sensory_584_color,sensory_584_aroma,sensory_584_flavor,sensory_584_lemon,sensory_584_sweet,sensory_584_salt,sensory_584_sour,sensory_584_aftert,refresh_584,wtp_2b_584,sure_2b_584,sensory_793_overall,sensory_793_appear,sensory_793_color,sensory_793_aroma,sensory_793_flavor,sensory_793_lemon,sensory_793_sweet,sensory_793_salt,sensory_793_sour,sensory_793_aftert,refresh_793,wtp_2b_793,Sure_2b_793,wtp_3b_info_584,wtp_3b_info_793,sure_3b_info_584,sure_3b_info_793,after_info_3b_d1_new,after_info_3b_d1_useful,mag_benefit_3b_d1_musle,mag_benefit_3b_d1_cramps,mag_benefit_3b_d1_sugar,mag_benefit_3b_d1_bone,mag_benefit_3b_d1_sleep,mag_intake_d1_magsupp,mag_intake_d1_multivit,wtp_2a_info_584,wtp_2a_info_793,sure_2a_info_584,sure_2a_info_793,after_info_2a_d1_new,after_info_2a_d1_useful,mag_benefit_2a_d1_muscle,mag_benefit_2a_d1_cramps,mag_benefit_2a_d1_sugar,mag_benefit_2a_d1_bone,mag_benefit_2a_d1_sleep,mag_intake_2a_d1_magsupp,mag_intake_2a_d1_multivit,wtp_3a_584,sure_3a_584,wtp_3a_793,sure_3a_793,sensory_356_overall,sensory_356_appear,sensory_356_color,sensory_356_aroma,sensory_356_flavor,sensory_356_blueberry,sensory_356_sweet,sensory_356_salt,sensory_356_sour,sensory_356_aftert,refresh_356,wtp_2b_356,sure_2b_356,sensory_831_overall,sensory_831_appear,sensory_831_color,sensory_831_aroma,sensory_831_flavor,sensory_831_pineapple,sensory_831_sweet,sensory_831_slat,sensory_831_sour,sensory_831_aftert,refresh_831,wtp_2b_831,sure_2b_831,wtp_3b_info_356,wtp_3b_info_831,sure_3b_info_356,sure_3b_info_831,after_info_3b_d2_new,after_info_3b_d2_useful,mag_benefit_3b_d2_muscle,mag_benefit_3b_d2_cramps,mag_benefit_3b_d2_sugar,mag_benefit_3b_d2_bone,mag_benefit_3b_d2_sleep,mag_intake_3b_d2_magsupp,mag_intake_3b_d2_multivit,wtp_2a_info_356,wtp_2a_info_831,sure_2a_info_356,sure_2a_info_831,after_info_2a_d2_new,after_info_2a_d2_useful,mag_benefit_2a_d2_muscle,mag_benefit_2a_d2_cramps,mag_benefit_2a_d2_sugar,mag_benefit_2a_d2_bone,mag_benefit_2a_d2_sleep,mag_intake_2a_d2_magsupp,mag_intake_2a_d2_multivit,wtp_3a_356,sure_3a_356,wtp_3a_831,sure_3a_831,gender,gender_4_TEXT,age,race_2,race_7,race_8,race_9,race_10,race_11,race_12,race_13,race_-999,race_13_TEXT,edu,income,randomizer,Day
3/18/2026 13:56,3/18/2026 14:09,0,150.135.165.4,100,772,1,3/18/2026 14:09,R_3lZXdt7YaY8fKwh,,,,,32.2503,-110.945,qr,EN,4,1,,1,,1,1,,,,2,1,1,,,1,,1,,,,1,,4,3,5,5,2,3,5,4,4,4,4,4,4,4,2,2,8,8,8,6,8,7,8,7,8,9,4,,,7,6,6,5,7,6,6,5,8,7,3,,,,,,,,,,,,,,,,2.5,2,2,2,2,4,80,20,50,20,80,0,0,2.5,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20.5,,,,,,,1,,,,2,2,3,1
3/18/2026 13:59,3/18/2026 14:09,0,172.226.3.121,100,621,1,3/18/2026 14:09,R_1DpDXoy9UtfumX8,,,,,32.2163,-110.9241,qr,EN,4,2,,,1,1,1,,,,4,,,1,,1,1,,,,,3,,4,4,1,5,1,2,5,5,5,5,5,5,5,5,4,1,8,5,5,8,6,8,6,5,8,9,4,4,1,9,8,7,7,9,9,8,5,8,8,5,4,1,4,3,1,1,4,5,80,100,27,85,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,55,,,,,,,1,,,,5,6,2,1
3/18/2026 13:58,3/18/2026 14:12,0,150.135.165.92,100,863,1,3/18/2026 14:12,R_7PNNSDgDNaYBS0T,,,,,32.2503,-110.945,qr,EN,4,3,,1,1,1,,,,,2,,1,1,1,1,1,1,,,,5,,5,4,1,2,2,4,2,2,4,4,2,2,2,2,3.5,2,8,8,7,7,8,8,8,9,9,7,4,3,1,9,9,9,5,9,9,7,8,9,7,3,3.5,3,3.5,3,2,2,4,4,60,85,50,50,80,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,23,,,,,,,1,,,,3,6,1,1
3/18/2026 13:58,3/18/2026 14:13,0,150.135.165.63,100,926,1,3/18/2026 14:13,R_5HtRoQvNhhlNTGy,,,,,32.2503,-110.945,qr,EN,4,2,,,,1,1,,,,2,1,,,,1,,1,,,,1,,4,4,2,3,3,4,2,2,2,2,2,2,4,2,3,1,9,5,4,8,9,8,8,5,8,6,4,,,9,7,7,7,9,8,9,8,8,6,4,,,,,,,,,,,,,,,,3.25,2.5,1,1,1,1,100,100,100,100,,0,0,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,18.5,,,,1,,,,,,,2,4,3,1
3/18/2026 13:56,3/18/2026 14:14,0,150.135.165.10,100,1110,1,3/18/2026 14:14,R_6kIaJpDY2N5ltUQ,,,,,32.2503,-110.945,qr,EN,4,1,,,,1,,1,,,3,,,1,,,1,1,,,,3,,3,5,4,5,5,5,4,1,2,4,4,4,2,2,4.25,3,4,1,1,5,2,3,5,5,5,1,1,,,9,9,9,5,9,9,9,9,9,9,5,,,,,,,,,,,,,,,,4.25,3,2,3,4,5,100,80,90,70,100,0,0,1.75,2,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,23,,,1,,,,,,,,5,1,4,1
3/18/2026 14:10,3/18/2026 14:19,0,172.225.108.145,100,527,1,3/18/2026 14:19,R_3VOmnRoLOmr6j29,,,,,33.42,-111.9128,qr,EN,4,2,,1,1,1,,,,,2,1,1,1,,1,,,,1,It really depends on the color more than the flavor for me. Sometime blue hits different or I really need a green ,1,,4,3,2,3,1,2,2,4,4,4,4,4,4,4,4,2,6,6,7,5,6,7,6,6,5,5,3,,,8,8,6,5,9,9,8,9,9,9,3,,,,,,,,,,,,,,,,2.5,2.5,1,1,4,4,53,89,,,,0,3,3.75,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,23,,,,,,1,1,,,,4,2,4,1
3/18/2026 14:10,3/18/2026 14:20,0,150.135.165.35,100,562,1,3/18/2026 14:20,R_16xjdFcovSItFFD,,,,,32.2503,-110.945,qr,EN,4,2,1,,,1,,,,,4,1,,1,,1,,,,,,5,,3,4,5,4,4,3,4,4,4,4,4,4,4,4,3,1,7,8,7,7,7,7,7,7,6,8,4,,,8,8,8,8,9,9,9,9,8,9,5,,,,,,,,,,,,,,,,3,2,2,2,4,4,50,75,75,90,91,4,1,2.5,1,3.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,18.5,,,1,,,,,,,,2,2,4,1
3/18/2026 14:14,3/18/2026 14:22,0,108.147.173.90,100,522,1,3/18/2026 14:22,R_31HA1b0KgA2w508,,,,,33.4532,-112.0748,qr,EN,4,1,,1,,,,1,,,2,1,1,1,,,1,,,1,Peach,2,,5,4,1,3,2,4,5,3,5,5,3,4,3,4,2.5,1,7,5,5,7,8,8,9,8,8,8,4,,,8,7,7,8,8,8,7,5,8,8,5,,,,,,,,,,,,,,,,2.75,2.5,1,1,4,4,20,20,50,50,70,0,4,3,2,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,18.5,,,1,,,,,,,,3,1,3,1
3/18/2026 14:15,3/18/2026 14:25,0,150.135.165.43,100,614,1,3/18/2026 14:26,R_1VLbX6Qm7FvRXYR,,,,,32.2503,-110.945,qr,EN,4,5,,1,,,,,,,3,,,1,,1,1,,,,,3,,4,3,5,4,3,3,4,4,4,5,3,4,3,5,3,2,4,5,4,6,7,7,3,5,7,5,3,1.5,1,7,8,6,9,9,8,6,5,9,6,4,3.25,1,2.5,2,2,3,2,5,93,94,47,74,97,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,20.5,,,1,,,,,,,,2,5,2,1
3/18/2026 14:14,3/18/2026 14:28,0,172.226.3.117,100,862,1,3/18/2026 14:28,R_6hXth8gVFbc7FQ3,,,,,33.4532,-112.0748,qr,EN,4,1,,1,1,1,1,,,,1,1,1,1,,1,,1,,,,7,,5,4,3,3,3,5,3,2,4,2,4,4,2,2,2,3,8,6,4,6,8,7,8,8,9,9,3,2,1,6,8,8,3,4,2,7,8,8,4,1,2,3,2.5,2,1,3,1,1,70,50,65,75,85,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,18.5,,,,1,,,,,,,3,3,1,1
