product,dependent_var,sample_day,model_role,term,coefficient,N,beta,se,t_stat,p_value,ci_low,ci_high,r2
584,info_eff_584,Day 1,Main H2 model,Female,2.gender,68,-.0242635515520968,.1459986580548155,-.1661902367827724,.8686058217747317,-.3167340082646502,.2682069051604566,.0780226874705341
584,info_eff_584,Day 1,Main H2 model,Three or more exercise days,1.active_3plus,68,-.0926512515568044,.1810610884875709,-.5117126619017566,.610864152411162,-.4553601966140243,.2700576935004155,.0780226874705341
584,info_eff_584,Day 1,Main H2 model,Consumes before exercise,1.con_situation_1,68,.095106445222068,.2928182693078195,.3247968285820623,.7465451041361365,-.4914790350779185,.6816919255220545,.0780226874705341
584,info_eff_584,Day 1,Main H2 model,Consumes during exercise,1.con_situation_2,68,-.0018714724110064,.1957994185723354,-.0095581101550361,.9924078173004354,-.3941048404218472,.3903618955998344,.0780226874705341
584,info_eff_584,Day 1,Main H2 model,Consumes after exercise,1.con_situation_3,68,.0325088292327332,.1402702728350806,.231758508596862,.8175703890863555,-.2484862929544009,.3135039514198673,.0780226874705341
584,info_eff_584,Day 1,Main H2 model,High sweetness importance,1.sweet_high,68,.1446174871999549,.1432671932599041,1.009425004492139,.3171126408792097,-.1423811880133326,.4316161624132424,.0780226874705341
584,info_eff_584,Day 1,Main H2 model,High low-to-moderate sugar importance,1.sugar_lowmod_high,68,.1302893118476285,.1442743624334618,.9030662804537908,.3703589667224849,-.1587269656648981,.4193055893601551,.0780226874705341
584,info_eff_584,Day 1,Main H2 model,Selected Lemon Lime flavor,1.flavor_pref1_5,68,-.192086045792926,.1625088234040061,-1.182003793821024,.24219908411112,-.5176303380078893,.1334582464220373,.0780226874705341
584,info_eff_584,Day 1,Main H2 model,High functional ingredient importance,1.ingred_high,68,.072470229334796,.1699163869712173,.4265052395862912,.6713748588883824,-.2679131958454587,.4128536545150507,.0780226874705341
584,info_eff_584,Day 1,Main H2 model,High health-claim importance,1.health_high,68,-.1586653225020291,.1714667224274799,-.9253417821008096,.3587587309934749,-.5021544427961426,.1848237977920844,.0780226874705341
584,info_eff_584,Day 1,Main H2 model,High magnesium knowledge,1.magn_know_high,68,-.0936588064266932,.1561789292649795,-.5996891313538709,.5511322663254394,-.4065227969563619,.2192051841029755,.0780226874705341
584,info_eff_584,Day 1,Main H2 model,Constant,_cons,68,.143662672639815,.3002063451400411,.4785464230371241,.6341244828396497,-.4577229020012136,.7450482472808436,.0780226874705341
793,info_eff_793,Day 1,Supporting model,Female,2.gender,68,.3301849465889534,.1846542926012332,1.788124943848439,.0791663350965837,-.0397220512598865,.7000919444377933,.2391176414237983
793,info_eff_793,Day 1,Supporting model,Three or more exercise days,1.active_3plus,68,.2332818544115251,.2142448339755482,1.08885638025769,.2808810141943736,-.1959021208110953,.6624658296341455,.2391176414237983
793,info_eff_793,Day 1,Supporting model,Consumes before exercise,1.con_situation_1,68,-.4933657960969523,.3562161748047374,-1.385017949753109,.171539967753569,-1.206952542178034,.2202209499841294,.2391176414237983
793,info_eff_793,Day 1,Supporting model,Consumes during exercise,1.con_situation_2,68,.0943908863944564,.2382670502674693,.3961558523870459,.6934955110191037,-.3829153706611111,.5716971434500239,.2391176414237983
793,info_eff_793,Day 1,Supporting model,Consumes after exercise,1.con_situation_3,68,-.2070739932836259,.1672673328162506,-1.23798227542197,.220887791269244,-.5421507253142182,.1280027387469664,.2391176414237983
793,info_eff_793,Day 1,Supporting model,High sweetness importance,1.sweet_high,68,-.1765125170371887,.1866595026049005,-.9456390624312883,.3483952386515002,-.5504364332152161,.1974113991408386,.2391176414237983
793,info_eff_793,Day 1,Supporting model,High low-to-moderate sugar importance,1.sugar_lowmod_high,68,.1714476432284792,.1821869249612019,.9410534991190519,.3507193126330372,-.1935166232954824,.5364119097524408,.2391176414237983
793,info_eff_793,Day 1,Supporting model,Selected Lemon Lime flavor,1.flavor_pref1_5,68,.1010377623168854,.2121941372637864,.4761571814365522,.6358149228025336,-.3240381737507263,.5261136983844971,.2391176414237983
793,info_eff_793,Day 1,Supporting model,High functional ingredient importance,1.ingred_high,68,-.3668114645429871,.1887243844610908,-1.943635771235552,.0569710242233593,-.744871836134945,.0112489070489709,.2391176414237983
793,info_eff_793,Day 1,Supporting model,High health-claim importance,1.health_high,68,.010070897297205,.2321839453828727,.0433746497011153,.9655571769731133,-.4550494363565162,.4751912309509262,.2391176414237983
793,info_eff_793,Day 1,Supporting model,High magnesium knowledge,1.magn_know_high,68,.1240907136818697,.2014119555350103,.6161040110665115,.5403222288628489,-.2793859169086402,.5275673442723796,.2391176414237983
793,info_eff_793,Day 1,Supporting model,Constant,_cons,68,-.6059959861712226,.3793651639919046,-1.597394921016401,.115805763336026,-1.365955729992207,.1539637576497617,.2391176414237983
356,info_eff_356,Day 2,Supporting model,Female,2.gender,72,-.2860149328681025,.1964134393063076,-1.456188201165099,.1505537474361415,-.6789003077268398,.1068704419906348,.1386665247082359
356,info_eff_356,Day 2,Supporting model,Three or more exercise days,1.active_3plus,72,.1553087534925417,.2902349803153897,.5351138354300792,.5945489339025878,-.4252476455046842,.7358651524897676,.1386665247082359
356,info_eff_356,Day 2,Supporting model,Consumes before exercise,1.con_situation_1,72,-.1741775842533339,.2913161150763526,-.5978988982730419,.5521575745766905,-.7568965747582177,.4085414062515499,.1386665247082359
356,info_eff_356,Day 2,Supporting model,Consumes during exercise,1.con_situation_2,72,.0549261722971217,.2319436116932871,.2368082996385943,.8136121578562878,-.4090301290030819,.5188824735973253,.1386665247082359
356,info_eff_356,Day 2,Supporting model,Consumes after exercise,1.con_situation_3,72,.0916883776737022,.2438835268897141,.3759514996482906,.7082789785003571,-.3961513099889493,.5795280653363537,.1386665247082359
356,info_eff_356,Day 2,Supporting model,High sweetness importance,1.sweet_high,72,-.1472231295776885,.1868682883268201,-.7878443736810234,.4338892429456602,-.5210153597213596,.2265691005659826,.1386665247082359
356,info_eff_356,Day 2,Supporting model,High low-to-moderate sugar importance,1.sugar_lowmod_high,72,-.2005552399586283,.2468579233094789,-.8124318525810403,.4197557213336823,-.6943446063015424,.2932341263842858,.1386665247082359
356,info_eff_356,Day 2,Supporting model,Selected Blueberry flavor,1.flavor_pref1_1,72,.3761852248278855,.1770075814803675,2.125249221992277,.0376926050476402,.0221173451126946,.7302531045430765,.1386665247082359
356,info_eff_356,Day 2,Supporting model,High functional ingredient importance,1.ingred_high,72,.2125945834913182,.2959936247909281,.7182404135949958,.4753966504175443,-.3794808195080817,.8046699864907181,.1386665247082359
356,info_eff_356,Day 2,Supporting model,High health-claim importance,1.health_high,72,-.0181299560497928,.2584510456716015,-.0701485111142846,.9443087384988493,-.5351090198040056,.49884910770442,.1386665247082359
356,info_eff_356,Day 2,Supporting model,High magnesium knowledge,1.magn_know_high,72,-.2909238134909359,.2847364753447939,-1.021730051053872,.3110107353327825,-.8604815649711444,.2786339379892726,.1386665247082359
356,info_eff_356,Day 2,Supporting model,Constant,_cons,72,.0727161808603953,.2932769426288394,.2479437360761846,.8050245369565814,-.5139250487270735,.6593574104478641,.1386665247082359
831,info_eff_831,Day 2,Supporting model,Female,2.gender,72,-.1143289001762658,.1378629260735302,-.8292940200274557,.4102252229147503,-.3900958109376613,.1614380105851297,.0997122237842244
831,info_eff_831,Day 2,Supporting model,Three or more exercise days,1.active_3plus,72,.1811719949543181,.1987171815372573,.9117077524589908,.3655711802631846,-.2163215504714701,.5786655403801063,.0997122237842244
831,info_eff_831,Day 2,Supporting model,Consumes before exercise,1.con_situation_1,72,.0160977650111611,.258687946899279,.0622285081470333,.9505876976312695,-.5013551717528074,.5335507017751296,.0997122237842244
831,info_eff_831,Day 2,Supporting model,Consumes during exercise,1.con_situation_2,72,-.024569022517963,.1956727331679151,-.1255618098658604,.9004985754656311,-.4159727645013212,.3668347194653952,.0997122237842244
831,info_eff_831,Day 2,Supporting model,Consumes after exercise,1.con_situation_3,72,-.0837120342524623,.1561799070444217,-.5359974649533655,.5939418740919625,-.3961183621558088,.2286942936508841,.0997122237842244
831,info_eff_831,Day 2,Supporting model,High sweetness importance,1.sweet_high,72,-.2179255470317694,.1581951443868722,-1.377574184570572,.1734517756795475,-.5343629498020614,.0985118557385226,.0997122237842244
831,info_eff_831,Day 2,Supporting model,High low-to-moderate sugar importance,1.sugar_lowmod_high,72,-.0794427057899705,.1686586476864159,-.4710265787122694,.6393298495138597,-.4168102314209787,.2579248198410378,.0997122237842244
831,info_eff_831,Day 2,Supporting model,Selected Pineapple flavor,1.flavor_pref1_7,72,.0119431658757713,.1705328106622636,.0700344164233854,.9443991682803025,-.3291732438739249,.3530595756254675,.0997122237842244
831,info_eff_831,Day 2,Supporting model,High functional ingredient importance,1.ingred_high,72,.0824535527154839,.2805263965799351,.2939243997025749,.7698300649451882,-.4786827873808692,.643589892811837,.0997122237842244
831,info_eff_831,Day 2,Supporting model,High health-claim importance,1.health_high,72,-.1031783186167371,.2710958138622929,-.3805972403142603,.7048463007872903,-.6454506846426651,.4390940474091909,.0997122237842244
831,info_eff_831,Day 2,Supporting model,High magnesium knowledge,1.magn_know_high,72,.0953301527950949,.1675864087879599,.5688417902415474,.5715867275145956,-.2398925757026529,.4305528812928427,.0997122237842244
831,info_eff_831,Day 2,Supporting model,Constant,_cons,72,.1144530009571599,.2496852663192929,.4583890857652751,.648328960270272,-.3849918934503723,.6138978953646922,.0997122237842244
