="H2 Information-Effect Regressions with Consumption Situation and Gender-Exercise Interaction"

="",="(1)",="(2)",="(3)",="(4)"
="",="Information effect: Product 584",="Information effect: Product 793",="Information effect: Product 356",="Information effect: Product 831"

="Male",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="Female",="0.6424",="0.3423",="-0.7068",="-0.5273"
="",="(0.5281)",="(0.5793)",="(0.7029)",="(0.4380)"

="days per week with 30+ minutes of moderate/vigorous physical activity",="0.0182",="0.1612",="-0.0620",="-0.0853"
="",="(0.1015)",="(0.1541)",="(0.1291)",="(0.1334)"

="Male # days per week with 30+ minutes of moderate/vigorous physical activity",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="Female # days per week with 30+ minutes of moderate/vigorous physical activity",="-0.2415",="-0.0008",="0.1403",="0.1337"
="",="(0.1702)",="(0.1886)",="(0.2486)",="(0.1427)"

="No",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="Yes",="0.1018",="-0.5350",="-0.1594",="0.0454"
="",="(0.3019)",="(0.3696)",="(0.3052)",="(0.2618)"

="No",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="Yes",="-0.0373",="0.1210",="0.0180",="-0.0833"
="",="(0.1988)",="(0.2494)",="(0.2378)",="(0.2044)"

="No",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="Yes",="0.0438",="-0.1975",="0.1413",="-0.0156"
="",="(0.1420)",="(0.1719)",="(0.2477)",="(0.1597)"

="Not very important",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="Very or extremely important",="0.1808",="-0.1582",="-0.1430",="-0.2246"
="",="(0.1578)",="(0.1891)",="(0.1993)",="(0.1577)"

="Not very important",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="Very or extremely important",="0.1518",="0.1979",="-0.1687",="-0.0433"
="",="(0.1455)",="(0.1943)",="(0.2407)",="(0.1717)"

="No",="0.0000",="0.0000",="",=""
="",="(.)",="(.)",="",=""

="Yes",="-0.1818",="0.1020",="",=""
="",="(0.1695)",="(0.2190)",="",=""

="Not very important",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="Very or extremely important",="0.0603",="-0.3984*",="0.2386",="0.1246"
="",="(0.1692)",="(0.1924)",="(0.3013)",="(0.2491)"

="Not very important",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="Very or extremely important",="-0.1353",="0.0399",="-0.0026",="-0.0860"
="",="(0.1879)",="(0.2378)",="(0.2500)",="(0.2637)"

="Does not agree or is neutral",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="Agrees or strongly agrees",="-0.0863",="0.1364",="-0.3127",="0.0571"
="",="(0.1552)",="(0.1974)",="(0.2853)",="(0.1666)"

="No",="",="",="0.0000",=""
="",="",="",="(.)",=""

="Yes",="",="",="0.3542",=""
="",="",="",="(0.1806)",=""

="No",="",="",="",="0.0000"
="",="",="",="",="(.)"

="Yes",="",="",="",="-0.0207"
="",="",="",="",="(0.1716)"

="Constant",="-0.0143",="-0.9585",="0.3249",="0.4549"
="",="(0.5249)",="(0.6702)",="(0.4091)",="(0.4095)"

="Observations",="68",="68",="72",="72"
="R-squared",="0.116",="0.250",="0.137",="0.091"
="Adjusted R-squared",="-0.076",="0.086",="-0.038",="-0.094"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
