product,outcome,sample,term,coefficient,beta,se,t_stat,p_value,ci_low,ci_high,N,r2
584,info_eff_584,Day 1,High sweetness importance,1.sweet_high,.1542994968785869,.13637540661649,1.131431984012355,.2623018243645426,-.1183999826050212,.426998976362195,68,.0673913906175219
584,info_eff_584,Day 1,High low-to-moderate sugar importance,1.sugar_lowmod_high,.1185797543368823,.1445727550995949,.8202081661596179,.4152910383195579,-.1705113365079649,.4076708451817295,68,.0673913906175219
584,info_eff_584,Day 1,Selected Lemon Lime flavor,1.flavor_pref1_5,-.1793345512699232,.1513839754990618,-1.184633648830517,.2407574344660649,-.482045519068143,.1233764165282966,68,.0673913906175219
584,info_eff_584,Day 1,High functional ingredient importance,1.ingred_high,.0493727331032576,.1469690461082974,.3359396717243181,.7380691591223649,-.2445100377591024,.3432555039656175,68,.0673913906175219
584,info_eff_584,Day 1,High health-claim importance,1.health_high,-.1415285274132372,.1373985746364384,-1.030058192290035,.3070496940297899,-.4162739578009467,.1332169029744723,68,.0673913906175219
584,info_eff_584,Day 1,High magnesium knowledge,1.magn_know_high,-.1012601215194076,.1459705301748336,-.6937024987038486,.4905020586488006,-.3931462363712201,.1906259933324049,68,.0673913906175219
584,info_eff_584,Day 1,Constant,_cons,.1094548959472785,.208524172985463,.5249026737773419,.6015534409136077,-.3075149583960176,.5264247502905747,68,.0673913906175219
793,info_eff_793,Day 1,High sweetness importance,1.sweet_high,-.2557307947577072,.1817794786146111,-1.406818837344558,.1645557147278118,-.6192213274635665,.1077597379481521,68,.0861102622367833
793,info_eff_793,Day 1,High low-to-moderate sugar importance,1.sugar_lowmod_high,.230110075319265,.1848640943352717,1.244752671667732,.2179837816202116,-.1395485277322734,.5997686783708034,68,.0861102622367833
793,info_eff_793,Day 1,Selected Lemon Lime flavor,1.flavor_pref1_5,-.0168469675027972,.2208405489294984,-.0762856621415819,.9394414857020994,-.4584449376654507,.4247510026598564,68,.0861102622367833
793,info_eff_793,Day 1,High functional ingredient importance,1.ingred_high,-.4036901315396342,.1945972518966762,-2.074490403153167,.0422606103636467,-.7928113860074288,-.0145688770718395,68,.0861102622367833
793,info_eff_793,Day 1,High health-claim importance,1.health_high,-.0702577898795182,.1966087055458448,-.3573483162124559,.7220644591521204,-.4634011945043146,.3228856147452782,68,.0861102622367833
793,info_eff_793,Day 1,High magnesium knowledge,1.magn_know_high,.1412041205810418,.1829588332163384,.7717808323256847,.4432239304873185,-.2246446774015038,.5070529185635874,68,.0861102622367833
793,info_eff_793,Day 1,Constant,_cons,-.3154728506117366,.3138890200476844,-1.005045829777071,.318845043129784,-.9431327381700352,.312187036946562,68,.0861102622367833
356,info_eff_356,Day 2,High sweetness importance,1.sweet_high,-.2192895624813099,.1744558321347496,-1.256991868932938,.2132547185466128,-.5677019181776901,.1291227932150703,72,.0924985352493743
356,info_eff_356,Day 2,High low-to-moderate sugar importance,1.sugar_lowmod_high,-.166569967339571,.2124172215173125,-.7841641376803112,.4357922136604142,-.5907964528270973,.2576565181479552,72,.0924985352493743
356,info_eff_356,Day 2,Selected Blueberry flavor,1.flavor_pref1_1,.3902374976888465,.1718965575310287,2.270187974057628,.0265187675036574,.0469363663215423,.7335386290561507,72,.0924985352493743
356,info_eff_356,Day 2,High functional ingredient importance,1.ingred_high,.3130241493785228,.238646960171836,1.311662001280603,.1942482866112687,-.1635867415031674,.789635040260213,72,.0924985352493743
356,info_eff_356,Day 2,High health-claim importance,1.health_high,-.1400336959423484,.207155775604884,-.6759825813857102,.5014498470582704,-.5537523483452095,.2736849564605127,72,.0924985352493743
356,info_eff_356,Day 2,High magnesium knowledge,1.magn_know_high,-.2229768280429461,.2321167701198375,-.9606235168955151,.3403014046957854,-.6865460288227857,.2405923727368935,72,.0924985352493743
356,info_eff_356,Day 2,Constant,_cons,.0233589244383022,.229328113723088,.1018580934499288,.9191828832201675,-.4346409449381092,.4813587938147135,72,.0924985352493743
831,info_eff_831,Day 2,High sweetness importance,1.sweet_high,-.2482238832156559,.1463242672212214,-1.696395874242629,.0945955474866559,-.5404536242008385,.0440058577695267,72,.063550264666175
831,info_eff_831,Day 2,High low-to-moderate sugar importance,1.sugar_lowmod_high,-.0793290717637131,.1527271832955805,-.5194168454621704,.6052343551751421,-.3843463191652507,.2256881756378246,72,.063550264666175
831,info_eff_831,Day 2,Selected Pineapple flavor,1.flavor_pref1_7,-.0077999899663399,.1583640062201259,-.0492535529538064,.9608682685316992,-.3240747501133803,.3084747701807005,72,.063550264666175
831,info_eff_831,Day 2,High functional ingredient importance,1.ingred_high,.1768008441724656,.2298524013786746,.7691929390861215,.4445649146892995,-.2822460999558197,.6358477883007509,72,.063550264666175
831,info_eff_831,Day 2,High health-claim importance,1.health_high,-.1606502496954305,.2332143584801355,-.6888523105626629,.4933677537303836,-.6264114857974311,.3051109864065701,72,.063550264666175
831,info_eff_831,Day 2,High magnesium knowledge,1.magn_know_high,.0899302533767149,.1628311077843402,.5522916020188353,.5826427535748469,-.2352659246448551,.4151264313982849,72,.063550264666175
831,info_eff_831,Day 2,Constant,_cons,.112649854870347,.2135379176082447,.5275402894815792,.5996146203721234,-.3138148152641667,.5391145250048607,72,.063550264666175
