group,test,variable,null_value,N,mean,diff_from_null,sd,se,t_stat,df,p_value,ci_low_diff,ci_high_diff
Baseline WTP,Baseline WTP: full sample,wtp_1,2.5,140,3.039285714285714,.5392857142857141,.6734103507623524,.0569135623125025,9.475522043842378,139,9.71320207436e-17,.4267574866600417,.6518139419113866
Baseline WTP,Baseline WTP: Day 1,wtp_1,2.5,68,3.066176470588236,.5661764705882359,.6932747929519587,.0840719176152688,6.734430314521685,67,4.51222437261e-09,.3983682206892329,.733984720487239
Baseline WTP,Baseline WTP: Day 2,wtp_1,2.5,72,3.013888888888889,.5138888888888888,.65795362556637,.0775405783907091,6.627354342129367,71,5.62181696110e-09,.3592773668678207,.6685004109099569
Information Effects,Information effect: Day 1 Product 584,info_eff_584,0,68,.0367647058823529,.0367647058823529,.5569518352563664,.0675403307395178,.5443370720842784,67,.5880166307827697,-.0980463585073562,.171575770272062
Information Effects,Information effect: Day 1 Product 793,info_eff_793,0,68,-.5441176470588235,-.5441176470588235,.7291136211316821,.0884180139118383,-6.153922973223124,67,4.78104658480e-08,-.7206007414731777,-.3676345526444693
Information Effects,Information effect: Day 2 Product 356,info_eff_356,0,72,-.1388888888888889,-.1388888888888889,.8263794366971695,.097389750586948,-1.426114021771635,71,.158217696449202,-.3330785361678733,.0553007583900955
Information Effects,Information effect: Day 2 Product 831,info_eff_831,0,72,-.0069444444444444,-.0069444444444444,.5828720510163659,.0686921299729639,-.1010951974728053,71,.9197598380176969,-.1439126614272254,.1300237725383366
Tasting Effects,Tasting effect: Day 1 Product 584,taste_eff_584,0,68,-.3345588235294117,-.3345588235294117,.7673494481607614,.0930547890154777,-3.595288615116464,67,.0006140542682353,-.5202969597863667,-.1488206872724567
Tasting Effects,Tasting effect: Day 1 Product 793,taste_eff_793,0,68,.1875,.1875,.6752210804341691,.0818825833904046,2.289864245074272,67,.0251850709304156,.0240616795035794,.3509383204964206
Tasting Effects,Tasting effect: Day 2 Product 356,taste_eff_356,0,72,-.1875,-.1875,.9739114544591622,.1147765656205545,-1.633608733509813,71,.1067680632909039,-.4163579718032027,.0413579718032027
Tasting Effects,Tasting effect: Day 2 Product 831,taste_eff_831,0,72,-.3020833333333333,-.3020833333333333,.7916126124367991,.0932924410544765,-3.238025824160148,71,.0018312088082529,-.4881031774440355,-.1160634892226311
