con_freq,exercise,preknow_5_magn,wtp_1,wtp_2b_584,wtp_2b_793,wtp_3b_info_584,wtp_3b_info_793,after_info_3b_d1_useful,mag_benefit_3b_d1_musle,mag_benefit_3b_d1_cramps,mag_benefit_3b_d1_sugar,mag_benefit_3b_d1_bone,mag_benefit_3b_d1_sleep,wtp_2a_info_584,wtp_2a_info_793,after_info_2a_d1_useful,mag_benefit_2a_d1_muscle,mag_benefit_2a_d1_cramps,mag_benefit_2a_d1_sugar,mag_benefit_2a_d1_bone,mag_benefit_2a_d1_sleep,gender,age,income,randomizer,day,diffB_584,diffB_793,diffA_584,diffA_793,diff_584,diff_793,devB_584_taste,devB_584_info,devB_793_taste,devB_793_info,devA_584_info,devA_793_info,dev_baseline,info_useful,mag_muscle,mag_cramps,mag_sugar,mag_bone,mag_sleep,high_info_useful,high_mag_muscle,high_mag_cramps,high_mag_sugar,high_mag_bone,high_mag_sleep,high_driver_count
1,2,4,2,,,,,,,,,,,2.5,2,4,80,20,50,20,80,2,20.5,2,3,1,,,.5,0,.5,0,,,,,0,-.5,-.5,4,80,20,50,20,80,0,0,0,0,0,0,0
2,4,5,4,4,4,4,3,5,80,100,27,85,100,,,,,,,,,1,55,6,2,1,0,-1,,,0,-1,1.5,1.5,1.5,.5,,,1.5,5,80,100,27,85,100,1,0,1,0,1,1,4
3,2,2,3.5,3,3.5,3.5,3,4,60,85,50,50,80,,,,,,,,,1,23,6,1,1,.5,-.5,,,.5,-.5,.5,1,1,.5,,,1,4,60,85,50,50,80,0,0,1,0,0,0,1
2,2,2,3,,,,,,,,,,,3.25,2.5,1,100,100,100,100,,2,18.5,4,3,1,,,.25,-.5,.25,-.5,,,,,.75,0,.5,1,100,100,100,100,,0,1,1,1,1,,4
1,3,2,4.25,,,,,,,,,,,4.25,3,5,100,80,90,70,100,2,23,1,4,1,,,0,-1.25,0,-1.25,,,,,1.75,.5,1.75,5,100,80,90,70,100,1,1,0,1,0,1,4
2,2,4,4,,,,,,,,,,,2.5,2.5,4,53,89,,,,1,23,2,4,1,,,-1.5,-1.5,-1.5,-1.5,,,,,0,0,1.5,4,53,89,,,,0,0,1,,,,1
2,4,4,3,,,,,,,,,,,3,2,4,50,75,75,90,91,1,18.5,2,4,1,,,0,-1,0,-1,,,,,.5,-.5,.5,4,50,75,75,90,91,0,0,0,1,1,1,3
1,2,4,2.5,,,,,,,,,,,2.75,2.5,4,20,20,50,50,70,2,18.5,1,3,1,,,.25,0,.25,0,,,,,.25,0,0,4,20,20,50,50,70,0,0,0,0,0,0,0
5,3,5,3,1.5,3.25,2.5,2,5,93,94,47,74,97,,,,,,,,,1,20.5,5,2,1,1,-1.25,,,1,-1.25,-1,0,.75,-.5,,,.5,5,93,94,47,74,97,1,1,1,0,1,1,5
1,1,2,2,2,2,2.5,2,1,70,50,65,75,85,,,,,,,,,3,18.5,3,1,1,.5,0,,,.5,0,-.5,0,-.5,-.5,,,-.5,1,70,50,65,75,85,0,0,0,0,1,1,2
2,2,3,3,,,,,,,,,,,4.75,0,5,100,100,49,84,100,1,20.5,3,4,1,,,1.75,-3,1.75,-3,,,,,2.25,-2.5,.5,5,100,100,49,84,100,1,1,1,0,1,1,5
2,4,5,3,2.5,2.75,2.5,2.75,4,80,80,50,70,80,,,,,,,,,2,35,5,1,1,0,0,,,0,0,0,0,.25,.25,,,.5,4,80,80,50,70,80,0,0,0,0,0,0,0
4,2,2,3.75,,,,,,,,,,,3.75,2.5,5,80,75,80,50,50,1,20.5,2,3,1,,,0,-1.25,0,-1.25,,,,,1.25,0,1.25,5,80,75,80,50,50,1,0,0,1,0,0,2
1,2,1,2.5,,,,,,,,,,,2.5,2,4,40,70,41,50,70,2,20.5,1,3,1,,,0,-.5,0,-.5,,,,,0,-.5,0,4,40,70,41,50,70,0,0,0,0,0,0,0
1,3,4,3,3,3,2,3,3,44,67,66,16,6,,,,,,,,,1,23,5,1,1,-1,0,,,-1,0,.5,-.5,.5,.5,,,.5,3,44,67,66,16,6,0,0,0,0,0,0,0
1,3,4,2.5,2.25,2.5,2.75,2.5,5,63,80,78,62,76,,,,,,,,,1,20.5,6,2,1,.5,0,,,.5,0,-.25,.25,0,0,,,0,5,63,80,78,62,76,1,0,0,1,0,0,2
2,2,4,2,2,1.5,2,2.25,5,89,83,90,85,92,,,,,,,,,2,27,1,1,1,0,.75,,,0,.75,-.5,-.5,-1,-.25,,,-.5,5,89,83,90,85,92,1,1,1,1,1,1,6
3,4,4,2.25,,,,,,,,,,,2.25,1.75,4,85,86,86,84,89,1,23,2,3,1,,,0,-.5,0,-.5,,,,,-.25,-.75,-.25,4,85,86,86,84,89,0,1,1,1,1,1,5
2,3,4,4,,,,,,,,,,,4,2.5,4,100,100,100,100,100,1,45,2,4,1,,,0,-1.5,0,-1.5,,,,,1.5,0,1.5,4,100,100,100,100,100,0,1,1,1,1,1,5
1,2,2,3.5,2.5,3,3,2.5,4,90,90,90,80,90,,,,,,,,,2,20.5,,2,1,.5,-.5,,,.5,-.5,0,.5,.5,0,,,1,4,90,90,90,80,90,0,1,1,1,1,1,5
5,2,3,3,,,,,,,,,,,2.5,1.5,5,61,92,77,84,100,2,20.5,6,3,1,,,-.5,-1.5,-.5,-1.5,,,,,0,-1,.5,5,61,92,77,84,100,1,0,1,1,1,1,5
2,2,4,2.75,2.75,1.75,2.75,1.75,4,0,0,0,0,0,,,,,,,,,1,27,,1,1,0,0,,,0,0,.25,.25,-.75,-.75,,,.25,4,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,4,,,,,,,,,,,3,2.5,4,71,50,71,29,90,2,20.5,,3,1,,,-1,-1.5,-1,-1.5,,,,,.5,0,1.5,4,71,50,71,29,90,0,0,0,0,0,1,1
3,3,3,2.25,,,,,,,,,,,2.5,2,5,83,93,77,47,100,1,23,5,4,1,,,.25,-.25,.25,-.25,,,,,0,-.5,-.25,5,83,93,77,47,100,1,1,1,1,0,1,5
2,4,3,2.5,2.5,2.75,2.5,2.5,3,81,32,59,17,18,,,,,,,,,1,23,1,2,1,0,-.25,,,0,-.25,0,0,.25,0,,,0,3,81,32,59,17,18,0,1,0,0,0,0,1
2,3,5,2.5,3,2.25,3,2.25,4,100,100,65,64,100,,,,,,,,,2,23,6,1,1,0,0,,,0,0,.5,.5,-.25,-.25,,,0,4,100,100,65,64,100,0,1,1,0,0,1,3
2,3,4,3,,,,,,,,,,,3,2.5,4,80,85,65,85,50,2,23,1,3,1,,,0,-.5,0,-.5,,,,,.5,0,.5,4,80,85,65,85,50,0,0,1,0,1,0,2
3,1,3,2.75,,,,,,,,,,,2.75,2.5,4,81,68,53,90,16,1,20.5,2,4,1,,,0,-.25,0,-.25,,,,,.25,0,.25,4,81,68,53,90,16,0,1,0,0,1,0,2
1,2,4,2,1.25,2.5,2.5,2.75,4,50,90,100,70,100,,,,,,,,,2,18.5,4,2,1,1.25,.25,,,1.25,.25,-1.25,0,0,.25,,,-.5,4,50,90,100,70,100,0,0,1,1,0,1,3
3,4,4,3.5,2.75,3,2.75,2.5,4,82,62,50,79,60,,,,,,,,,1,20.5,1,1,1,0,-.5,,,0,-.5,.25,.25,.5,0,,,1,4,82,62,50,79,60,0,1,0,0,1,0,2
