,D1 584 3b,,,D1 793 3b,,,D1 584 3a,,,D1 793 3a,,,D2 356 3b,,,D2 831 3b,,,D2 356 3a,,,D2 831 3a,,
,b,se,p,b,se,p,b,se,p,b,se,p,b,se,p,b,se,p,b,se,p,b,se,p
Product-specific preferred flavor,-0.435,0.288,0.143,-0.412,0.316,0.205,0.183,0.248,0.466,0.462,0.214,0.040,0.412,0.389,0.298,-0.049,0.367,0.895,0.508,0.342,0.149,-0.049,0.312,0.877
Flavor importance is moderate rather than very/extremely important,-0.249,0.336,0.466,0.098,0.528,0.855,-0.219,0.494,0.661,0.604,0.202,0.006,0.404,0.491,0.417,0.178,0.412,0.668,0.022,0.317,0.946,0.423,0.371,0.264
Sweetness is very or extremely important,-0.233,0.256,0.373,-0.117,0.411,0.779,-0.435,0.245,0.087,-0.065,0.185,0.728,-0.552,0.383,0.160,0.098,0.322,0.763,-0.226,0.451,0.619,-0.125,0.269,0.645
Sugar level is very or extremely important,0.243,0.309,0.439,-0.037,0.285,0.898,0.357,0.243,0.153,0.091,0.202,0.655,0.121,0.356,0.736,-0.481,0.367,0.200,0.188,0.499,0.710,0.111,0.400,0.783
Functional ingredients are very or extremely important,-0.258,0.279,0.364,-0.533,0.311,0.099,-0.127,0.363,0.730,-0.125,0.283,0.661,0.668,0.534,0.221,0.997,0.593,0.104,0.364,0.366,0.328,-0.817,0.456,0.085
Health claims are very or extremely important,0.197,0.249,0.436,0.121,0.294,0.685,-0.773,0.288,0.012,0.112,0.241,0.646,0.311,0.478,0.521,0.198,0.490,0.689,0.062,0.296,0.835,0.330,0.432,0.451
Prior magnesium knowledge is agree or strongly agree,0.460,0.445,0.312,-0.146,0.373,0.699,-0.061,0.241,0.804,-0.195,0.179,0.285,-0.839,0.459,0.078,-1.116,0.362,0.004,-0.356,0.411,0.395,-0.009,0.331,0.978
Constant,-0.091,0.403,0.823,0.234,0.487,0.635,0.062,0.319,0.847,-0.479,0.255,0.071,0.285,0.349,0.421,0.305,0.358,0.401,-0.781,0.611,0.213,-0.193,0.428,0.656
Observations,32,,,32,,,36,,,36,,,37,,,37,,,35,,,35,,
R-squared,0.244,,,0.159,,,0.404,,,0.298,,,0.249,,,0.341,,,0.157,,,0.113,,
