="",="b",="se",="p"
="Day 1: Selected Lemon-Lime as preferred flavor",="0.183",="0.248",="0.466"
="Flavor importance is moderate rather than very/extremely important",="-0.219",="0.494",="0.661"
="Sweetness is very or extremely important",="-0.435",="0.245",="0.087"
="Sugar level is very or extremely important",="0.357",="0.243",="0.153"
="Functional ingredients are very or extremely important",="-0.127",="0.363",="0.730"
="Health claims are very or extremely important",="-0.773",="0.288",="0.012"
="Prior magnesium knowledge is agree or strongly agree",="-0.061",="0.241",="0.804"
="Constant",="0.062",="0.319",="0.847"
="Observations",="36",="",=""
="R-squared",="0.404",="",=""
