"Day 1, Info first, Competitor beverage",b,se,p
Day 1: Selected Lemon-Lime as preferred flavor,0.462,0.214,0.04
Flavor importance is moderate rather than very/extremely important,0.604,0.202,0.006
Sweetness is very or extremely important,-0.065,0.185,0.728
Sugar level is very or extremely important,0.091,0.202,0.655
Functional ingredients are very or extremely important,-0.125,0.283,0.661
Health claims are very or extremely important,0.112,0.241,0.646
Prior magnesium knowledge is agree or strongly agree,-0.195,0.179,0.285
Constant,-0.479,0.255,0.071
Observations,36,,
R-squared,0.298,,
