"Day 1, Taste first, Lab beverage",b,se,p
Day 1: Selected Lemon-Lime as preferred flavor,-0.435,0.288,0.143
Flavor importance is moderate rather than very/extremely important,-0.249,0.336,0.466
Sweetness is very or extremely important,-0.233,0.256,0.373
Sugar level is very or extremely important,0.243,0.309,0.439
Functional ingredients are very or extremely important,-0.258,0.279,0.364
Health claims are very or extremely important,0.197,0.249,0.436
Prior magnesium knowledge is agree or strongly agree,0.460,0.445,0.312
Constant,-0.091,0.403,0.823
Observations,32,,
R-squared,0.244,,
