="",="b",="se",="p"
="Day 2: Selected Blueberry as preferred flavor",="0.412",="0.389",="0.298"
="Flavor importance is moderate rather than very/extremely important",="0.404",="0.491",="0.417"
="Sweetness is very or extremely important",="-0.552",="0.383",="0.160"
="Sugar level is very or extremely important",="0.121",="0.356",="0.736"
="Functional ingredients are very or extremely important",="0.668",="0.534",="0.221"
="Health claims are very or extremely important",="0.311",="0.478",="0.521"
="Prior magnesium knowledge is agree or strongly agree",="-0.839",="0.459",="0.078"
="Constant",="0.285",="0.349",="0.421"
="Observations",="37",="",=""
="R-squared",="0.249",="",=""
