model,model_label,coef_name,coef_label,coef_id,plot_order,y_plot,b,se,p,ci_lo,ci_hi
d1_dwtp_3a_793,D1 793 3a,flavor_low,Flavor: moderate,1,1,1.18,.60355645,.20215192,.0058201132,.18946701,1.0176458
d1_dwtp_3a_793,D1 793 3a,sweet_high,Sweetness high,2,1,1,-.065107375,.18502785,.72756368,-.44411978,.313905
d1_dwtp_3a_793,D1 793 3a,sugar_high,Sugar high,3,1,.8200000000000001,.091155186,.2016314,.65468836,-.321868,.5041784
d1_dwtp_3a_584,D1 584 3a,flavor_low,Flavor: moderate,1,2,2.18,-.21890855,.49392495,.66102517,-1.2306679,.79285079
d1_dwtp_3a_584,D1 584 3a,sweet_high,Sweetness high,2,2,2,-.43510517,.24493094,.086528823,-.93682343,.06661313
d1_dwtp_3a_584,D1 584 3a,sugar_high,Sugar high,3,2,1.82,.35729307,.24296436,.1525601,-.14039686,.85498297
d1_dwtp_3b_793,D1 793 3b,flavor_low,Flavor: moderate,1,3,3.18,.097838201,.52807158,.85457057,-.99204791,1.1877244
d1_dwtp_3b_793,D1 793 3b,sweet_high,Sweetness high,2,3,3,-.11700657,.41148695,.77858067,-.9662739,.73226076
d1_dwtp_3b_793,D1 793 3b,sugar_high,Sugar high,3,3,2.82,-.036841944,.28517574,.89828366,-.62541574,.55173182
d1_dwtp_3b_584,D1 584 3b,flavor_low,Flavor: moderate,1,4,4.18,-.24896853,.33621815,.46618181,-.94288868,.44495165
d1_dwtp_3b_584,D1 584 3b,sweet_high,Sweetness high,2,4,4,-.23268396,.25633687,.37304717,-.76173723,.29636931
d1_dwtp_3b_584,D1 584 3b,sugar_high,Sugar high,3,4,3.82,.243011,.30860817,.43873119,-.39392498,.87994701
