model,model_label,coef_name,coef_label,coef_id,plot_order,y_plot,b,se,p,ci_lo,ci_hi
d2_dwtp_3a_831,D2 831 3a,flavor_low,Flavor: moderate,1,1,1.18,.42302209,.37096944,.26416969,-.33814433,1.1841885
d2_dwtp_3a_831,D2 831 3a,sweet_high,Sweetness high,2,1,1,-.12503512,.26854891,.64523911,-.67605197,.42598173
d2_dwtp_3a_831,D2 831 3a,sugar_high,Sugar high,3,1,.8200000000000001,.11124656,.40042862,.78326786,-.71036512,.93285823
d2_dwtp_3a_356,D2 356 3a,flavor_low,Flavor: moderate,1,2,2.18,.021527361,.31705165,.94636667,-.62900889,.67206365
d2_dwtp_3a_356,D2 356 3a,sweet_high,Sweetness high,2,2,2,-.22642601,.45066613,.61944181,-1.1511165,.69826454
d2_dwtp_3a_356,D2 356 3a,sugar_high,Sugar high,3,2,1.82,.1878178,.49919662,.70967877,-.83644909,1.2120847
d2_dwtp_3b_831,D2 831 3b,flavor_low,Flavor: moderate,1,3,3.18,.17835364,.41159672,.66798753,-.66345614,1.0201634
d2_dwtp_3b_831,D2 831 3b,sweet_high,Sweetness high,2,3,3,.097941637,.32158867,.76287949,-.55978101,.75566429
d2_dwtp_3b_831,D2 831 3b,sugar_high,Sugar high,3,3,2.82,-.48127812,.36658129,.1995175,-1.231021,.26846477
d2_dwtp_3b_356,D2 356 3b,flavor_low,Flavor: moderate,1,4,4.18,.40422657,.49129641,.41735023,-.60058743,1.4090406
d2_dwtp_3b_356,D2 356 3b,sweet_high,Sweetness high,2,4,4,-.55194211,.38252437,.15976557,-1.3342923,.23040807
d2_dwtp_3b_356,D2 356 3b,sugar_high,Sugar high,3,4,3.82,.12095013,.35594931,.73645902,-.60704798,.84894824
