model,model_label,coef_name,coef_label,coef_id,plot_order,y_plot,b,se,p,ci_lo,ci_hi
d2_dwtp_3a_831,D2 831 3a,ingred_high,Functional ingredients high,1,1,1.18,-.81663644,.45616746,.084641196,-1.7526147,.11934189
d2_dwtp_3a_831,D2 831 3a,health_high,Health claims high,2,1,1,.32999808,.43176514,.45131686,-.55591083,1.215907
d2_dwtp_3a_831,D2 831 3a,magn_know_high,Prior magnesium knowledge high,3,1,.8200000000000001,-.0091011357,.33115456,.97827661,-.68857414,.67037189
d2_dwtp_3a_356,D2 356 3a,ingred_high,Functional ingredients high,1,2,2.18,.36447579,.3659763,.32814091,-.38644558,1.1153972
d2_dwtp_3a_356,D2 356 3a,health_high,Health claims high,2,2,2,.062356323,.29636973,.83493489,-.54574418,.67045683
d2_dwtp_3a_356,D2 356 3a,magn_know_high,Prior magnesium knowledge high,3,2,1.82,-.35553804,.41122848,.39488843,-1.1993091,.48823309
d2_dwtp_3b_831,D2 831 3b,ingred_high,Functional ingredients high,1,3,3.18,.99657029,.59333396,.10377673,-.21693394,2.2100744
d2_dwtp_3b_831,D2 831 3b,health_high,Health claims high,2,3,3,.19769782,.48963004,.68934405,-.80370808,1.1991037
d2_dwtp_3b_831,D2 831 3b,magn_know_high,Prior magnesium knowledge high,3,3,2.82,-1.1164228,.36193952,.0044482113,-1.8566722,-.37617332
d2_dwtp_3b_356,D2 356 3b,ingred_high,Functional ingredients high,1,4,4.18,.6679256,.53365618,.2207166,-.42352378,1.759375
d2_dwtp_3b_356,D2 356 3b,health_high,Health claims high,2,4,4,.31063238,.47771633,.52065283,-.66640723,1.2876719
d2_dwtp_3b_356,D2 356 3b,magn_know_high,Prior magnesium knowledge high,3,4,3.82,-.83930445,.45901,.077776134,-1.7780854,.099476375
