finding,spec,finding_id,spec_id,x_plot,b,se,p,ci_lo,ci_hi
D2 356 3a: Blueberry,Simple,1,1,.8200000000000001,.55871212,.33486575,.10468581,-.12257738,1.2400016
D2 356 3a: Blueberry,Core,1,2,1,.55058312,.33428034,.10964511,-.13118614,1.2323524
D2 356 3a: Blueberry,Full,1,3,1.18,.50766307,.34199086,.14927559,-.19404422,1.2093704
D2 831 3b: Mg knowledge,Full,2,3,2.18,-1.1164228,.36193952,.0044482113,-1.8566722,-.37617332
D1 584 3a: Health claims,Full,3,3,3.18,-.77278888,.28802422,.012104691,-1.3627797,-.18279801
D1 793 3a: Flavor moderate,Core,4,2,4,.55421031,.14243689,.00047535877,.26407585,.84434474
D1 793 3a: Flavor moderate,Full,4,3,4.18,.60355645,.20215192,.0058201132,.18946701,1.0176458
D1 793 3a: Lemon-Lime,Simple,5,1,4.82,.41304347,.19480996,.041362934,.017141998,.80894494
D1 793 3a: Lemon-Lime,Core,5,2,5,.44113079,.18765527,.025061896,.058889527,.82337207
D1 793 3a: Lemon-Lime,Full,5,3,5.18,.46232873,.21409185,.03952707,.023781447,.90087599
D1 584 3b: Lemon-Lime,Simple,6,1,5.82,-.57359308,.2368179,.021683959,-1.0572398,-.089946412
D1 584 3b: Lemon-Lime,Core,6,2,6,-.56304729,.31153318,.081465326,-1.201194,.07509952
D1 584 3b: Lemon-Lime,Full,6,3,6.18,-.4354755,.28759423,.14303444,-1.0290408,.15808983
