model,model_label,flavor_type,flavor_id,plot_order,y_plot,b,se,p,ci_lo,ci_hi
d2_dwtp_3a_831,D2 831 3a,Exact flavor,1,1,1.12,-.048934788,.31230539,.87665582,-.68973255,.59186298
d2_dwtp_3a_831,D2 831 3a,Flavor family,2,1,.88,0,0,,0,0
d2_dwtp_3a_356,D2 356 3a,Exact flavor,1,2,2.12,.50766307,.34199086,.14927559,-.19404422,1.2093704
d2_dwtp_3a_356,D2 356 3a,Flavor family,2,2,1.88,-1.6883312,.6089021,.0099510066,-2.937695,-.43896735
d2_dwtp_3b_831,D2 831 3b,Exact flavor,1,3,3.12,-.048870001,.36706123,.89500338,-.79959452,.70185453
d2_dwtp_3b_831,D2 831 3b,Flavor family,2,3,2.88,.021423142,.38230988,.95569736,-.76048833,.80333459
d2_dwtp_3b_356,D2 356 3b,Exact flavor,1,4,4.12,.41184664,.38882467,.29824755,-.38338909,1.2070824
d2_dwtp_3b_356,D2 356 3b,Flavor family,2,4,3.88,0,0,,0,0
d1_dwtp_3a_793,D1 793 3a,Exact flavor,1,5,5.12,.46232873,.21409185,.03952707,.023781447,.90087599
d1_dwtp_3a_793,D1 793 3a,Flavor family,2,5,4.88,.24621105,.18507384,.19414081,-.13289551,.62531763
d1_dwtp_3a_584,D1 584 3a,Exact flavor,1,6,6.12,.18320179,.24788709,.46602541,-.32457191,.69097549
d1_dwtp_3a_584,D1 584 3a,Flavor family,2,6,5.88,-.30386564,.20220542,.14409733,-.71806467,.11033338
d1_dwtp_3b_793,D1 793 3b,Exact flavor,1,7,7.12,-.41201478,.31646487,.20529847,-1.0651662,.24113661
d1_dwtp_3b_793,D1 793 3b,Flavor family,2,7,6.88,-.43478727,.36083853,.23997554,-1.1795213,.30994684
d1_dwtp_3b_584,D1 584 3b,Exact flavor,1,8,8.119999999999999,-.4354755,.28759423,.14303444,-1.0290408,.15808983
d1_dwtp_3b_584,D1 584 3b,Flavor family,2,8,7.88,-.39207122,.24061333,.11627114,-.88867271,.1045303
