="",="D1 584 3b",="",="",="D1 793 3b",="",="",="D1 584 3a",="",="",="D1 793 3a",="",="",="D2 356 3b",="",="",="D2 831 3b",="",="",="D2 356 3a",="",="",="D2 831 3a",="",=""
="",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p"
="Flavor-family preferred flavor",="-0.392",="0.241",="0.116",="-0.435",="0.361",="0.240",="-0.304",="0.202",="0.144",="0.246",="0.185",="0.194",="0.000",=".",=".",="0.021",="0.382",="0.956",="-1.688",="0.609",="0.010",="0.000",=".",="."
="Flavor importance is moderate rather than very/extremely important",="-0.467",="0.296",="0.128",="-0.106",="0.525",="0.841",="-0.250",="0.531",="0.641",="0.516",="0.223",="0.028",="0.276",="0.480",="0.569",="0.193",="0.418",="0.648",="0.039",="0.380",="0.918",="0.417",="0.345",="0.237"
="Sweetness is very or extremely important",="-0.283",="0.286",="0.331",="-0.168",="0.443",="0.708",="-0.479",="0.253",="0.069",="-0.129",="0.221",="0.564",="-0.575",="0.376",="0.137",="0.095",="0.342",="0.783",="-0.087",="0.413",="0.836",="-0.113",="0.258",="0.665"
="Sugar level is very or extremely important",="0.174",="0.322",="0.595",="-0.105",="0.264",="0.694",="0.390",="0.242",="0.118",="0.147",="0.208",="0.485",="0.132",="0.364",="0.719",="-0.491",="0.374",="0.199",="0.501",="0.516",="0.340",="0.126",="0.363",="0.732"
="Functional ingredients are very or extremely important",="-0.164",="0.278",="0.560",="-0.446",="0.301",="0.152",="-0.065",="0.380",="0.865",="0.028",="0.319",="0.931",="0.679",="0.577",="0.248",="1.004",="0.595",="0.102",="0.693",="0.449",="0.134",="-0.836",="0.442",="0.069"
="Health claims are very or extremely important",="0.272",="0.228",="0.245",="0.186",="0.288",="0.523",="-0.845",="0.292",="0.007",="-0.108",="0.256",="0.676",="0.250",="0.511",="0.629",="0.198",="0.495",="0.692",="-0.241",="0.430",="0.580",="0.335",="0.414",="0.426"
="Prior magnesium knowledge is agree or strongly agree",="0.491",="0.468",="0.305",="-0.115",="0.416",="0.785",="-0.047",="0.248",="0.852",="-0.218",="0.204",="0.293",="-0.653",="0.380",="0.096",="-1.103",="0.365",="0.005",="-0.271",="0.361",="0.459",="-0.003",="0.326",="0.992"
="Constant",="0.011",="0.462",="0.981",="0.397",="0.748",="0.601",="0.479",="0.253",="0.069",="-0.371",="0.221",="0.105",="0.342",="0.308",="0.275",="0.258",="0.464",="0.583",="0.554",="0.457",="0.236",="-0.226",="0.324",="0.490"
="Observations",="32",="",="",="32",="",="",="36",="",="",="36",="",="",="37",="",="",="37",="",="",="35",="",="",="35",="",=""
="R-squared",="0.202",="",="",="0.122",="",="",="0.397",="",="",="0.156",="",="",="0.214",="",="",="0.340",="",="",="0.235",="",="",="0.112",="",=""
