="",="b",="se",="p"
="Day 1: Selected Lemon-Lime family as preferred flavor",="-0.304",="0.202",="0.144"
="Flavor importance is moderate rather than very/extremely important",="-0.250",="0.531",="0.641"
="Sweetness is very or extremely important",="-0.479",="0.253",="0.069"
="Sugar level is very or extremely important",="0.390",="0.242",="0.118"
="Functional ingredients are very or extremely important",="-0.065",="0.380",="0.865"
="Health claims are very or extremely important",="-0.845",="0.292",="0.007"
="Prior magnesium knowledge is agree or strongly agree",="-0.047",="0.248",="0.852"
="Constant",="0.479",="0.253",="0.069"
="Observations",="36",="",=""
="R-squared",="0.397",="",=""
