="",="b",="se",="p"
="Day 2: Selected Blueberry family as preferred flavor",="0.000",=".",="."
="Flavor importance is moderate rather than very/extremely important",="0.276",="0.480",="0.569"
="Sweetness is very or extremely important",="-0.575",="0.376",="0.137"
="Sugar level is very or extremely important",="0.132",="0.364",="0.719"
="Functional ingredients are very or extremely important",="0.679",="0.577",="0.248"
="Health claims are very or extremely important",="0.250",="0.511",="0.629"
="Prior magnesium knowledge is agree or strongly agree",="-0.653",="0.380",="0.096"
="Constant",="0.342",="0.308",="0.275"
="Observations",="37",="",=""
="R-squared",="0.214",="",=""
