="",="Pooled Add.",="",="",="Pooled Int.",="",="",="D1 3b Premium Add.",="",="",="D1 3a Premium Add.",="",="",="D1 3b Premium Int.",="",="",="D1 3a Premium Int.",="",=""
="",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p"
="Female respondent",="-0.124",="0.137",="0.369",="-0.177",="0.217",="0.418",="-0.577",="0.450",="0.213",="-0.129",="0.313",="0.684",="-0.711",="0.784",="0.375",="-0.526",="0.527",="0.328"
="High exercise",="-0.046",="0.161",="0.777",="-0.092",="0.224",="0.681",="-0.692",="0.479",="0.163",="-0.193",="0.397",="0.631",="-0.783",="0.543",="0.164",="-0.636",="0.636",="0.327"
="Female x High exercise",="",="",="",="0.086",="0.285",="0.763",="",="",="",="",="",="",="0.202",="0.905",="0.825",="0.654",="0.704",="0.362"
="Product-specific preferred flavor",="0.070",="0.127",="0.582",="0.071",="0.127",="0.578",="",="",="",="",="",="",="",="",="",="",="",=""
="Day 1: Selected Lemon-Lime as preferred flavor",="",="",="",="",="",="",="-0.330",="0.542",="0.549",="-0.254",="0.291",="0.391",="-0.345",="0.555",="0.541",="-0.234",="0.289",="0.426"
="Flavor importance is moderate rather than very/extremely important",="-0.078",="0.175",="0.656",="-0.065",="0.183",="0.721",="-0.089",="0.607",="0.885",="-0.848",="0.609",="0.176",="-0.058",="0.610",="0.925",="-0.763",="0.691",="0.280"
="Sweetness is very or extremely important",="-0.161",="0.148",="0.280",="-0.156",="0.147",="0.291",="0.025",="0.450",="0.956",="-0.326",="0.280",="0.254",="-0.007",="0.510",="0.989",="-0.343",="0.274",="0.222"
="Sugar level is very or extremely important",="0.001",="0.158",="0.995",="0.005",="0.156",="0.976",="0.204",="0.428",="0.639",="0.341",="0.348",="0.336",="0.190",="0.444",="0.674",="0.324",="0.337",="0.346"
="Functional ingredients are very or extremely important",="0.312",="0.230",="0.177",="0.305",="0.226",="0.179",="0.346",="0.459",="0.458",="-0.008",="0.467",="0.986",="0.344",="0.468",="0.470",="0.055",="0.510",="0.914"
="Health claims are very or extremely important",="-0.019",="0.167",="0.907",="-0.019",="0.167",="0.911",="0.134",="0.380",="0.727",="-0.822",="0.478",="0.098",="0.124",="0.399",="0.759",="-0.871",="0.526",="0.110"
="Prior magnesium knowledge is agree or strongly agree",="-0.204",="0.144",="0.157",="-0.208",="0.145",="0.155",="0.510",="0.496",="0.316",="0.207",="0.323",="0.526",="0.523",="0.510",="0.317",="0.206",="0.338",="0.547"
="Product 584",="-0.021",="0.156",="0.896",="-0.022",="0.156",="0.886",="",="",="",="",="",="",="",="",="",="",="",=""
="Product 831",="0.016",="0.151",="0.913",="0.016",="0.151",="0.914",="",="",="",="",="",="",="",="",="",="",="",=""
="Info-first path",="-0.420",="0.131",="0.002",="-0.420",="0.132",="0.002",="",="",="",="",="",="",="",="",="",="",="",=""
="Constant",="0.052",="0.243",="0.832",="0.083",="0.272",="0.761",="0.478",="0.688",="0.495",="0.595",="0.329",="0.082",="0.563",="0.812",="0.496",="0.878",="0.461",="0.068"
="Observations",="212",="",="",="212",="",="",="32",="",="",="36",="",="",="32",="",="",="36",="",=""
="R-squared",="0.086",="",="",="0.087",="",="",="0.296",="",="",="0.376",="",="",="0.297",="",="",="0.404",="",=""
