="",="Context Add.",="",="",="Context Int.",="",=""
="",="b",="se",="p",="b",="se",="p"
="Female respondent",="-0.111",="0.137",="0.419",="-0.163",="0.220",="0.459"
="High exercise",="-0.026",="0.163",="0.874",="-0.073",="0.224",="0.747"
="Female x High exercise",="",="",="",="0.085",="0.285",="0.765"
="Consumes before exercise",="0.144",="0.228",="0.530",="0.146",="0.228",="0.524"
="Consumes during exercise",="0.046",="0.163",="0.777",="0.046",="0.164",="0.778"
="Consumes after exercise",="-0.096",="0.123",="0.434",="-0.094",="0.122",="0.445"
="Product-specific preferred flavor",="0.074",="0.128",="0.563",="0.075",="0.128",="0.560"
="Flavor importance is moderate rather than very/extremely important",="-0.077",="0.175",="0.662",="-0.064",="0.182",="0.726"
="Sweetness is very or extremely important",="-0.162",="0.154",="0.292",="-0.157",="0.152",="0.304"
="Sugar level is very or extremely important",="0.010",="0.156",="0.948",="0.014",="0.154",="0.928"
="Functional ingredients are very or extremely important",="0.304",="0.219",="0.167",="0.298",="0.216",="0.170"
="Health claims are very or extremely important",="-0.058",="0.175",="0.741",="-0.058",="0.175",="0.742"
="Prior magnesium knowledge is agree or strongly agree",="-0.200",="0.139",="0.152",="-0.203",="0.140",="0.148"
="Product 584",="-0.024",="0.159",="0.878",="-0.026",="0.158",="0.869"
="Product 831",="0.016",="0.152",="0.914",="0.016",="0.152",="0.915"
="Info-first path",="-0.425",="0.137",="0.002",="-0.426",="0.137",="0.002"
="Constant",="0.065",="0.229",="0.778",="0.095",="0.260",="0.716"
="Observations",="212",="",="",="212",="",=""
="R-squared",="0.092",="",="",="0.092",="",=""
