="",="D2 3b Premium Add.",="",="",="D2 3a Premium Add.",="",="",="D2 3b Premium Int.",="",="",="D2 3a Premium Int.",="",=""
="",="b",="se",="p",="b",="se",="p",="b",="se",="p",="b",="se",="p"
="Female respondent",="0.563",="0.417",="0.189",="-0.939",="0.558",="0.105",="-0.583",="0.966",="0.551",="-1.961",="0.819",="0.025"
="High exercise",="0.425",="0.469",="0.374",="-0.010",="0.503",="0.984",="-0.510",="0.669",="0.453",="-0.917",="0.648",="0.170"
="Female x High exercise",="",="",="",="",="",="",="1.701",="1.109",="0.138",="1.773",="0.988",="0.086"
="Day 2: Selected Blueberry as preferred flavor",="-0.023",="0.483",="0.962",="0.875",="0.637",="0.182",="-0.194",="0.488",="0.695",="0.813",="0.628",="0.208"
="Day 2: Selected Pineapple as preferred flavor",="0.175",="0.471",="0.714",="-0.311",="0.466",="0.511",="0.411",="0.511",="0.430",="-0.308",="0.481",="0.528"
="Flavor importance is moderate rather than very/extremely important",="0.275",="0.526",="0.606",="-0.226",="0.460",="0.628",="0.753",="0.651",="0.258",="-0.044",="0.453",="0.924"
="Sweetness is very or extremely important",="-0.836",="0.483",="0.095",="-0.032",="0.417",="0.940",="-0.586",="0.516",="0.266",="0.243",="0.465",="0.607"
="Sugar level is very or extremely important",="0.544",="0.427",="0.214",="0.008",="0.679",="0.991",="0.690",="0.475",="0.158",="0.141",="0.590",="0.813"
="Functional ingredients are very or extremely important",="-0.379",="0.366",="0.310",="0.729",="0.766",="0.351",="-0.822",="0.465",="0.089",="0.687",="0.533",="0.210"
="Health claims are very or extremely important",="0.163",="0.444",="0.716",="0.489",="0.770",="0.532",="0.280",="0.469",="0.556",="0.486",="0.641",="0.456"
="Prior magnesium knowledge is agree or strongly agree",="0.600",="0.707",="0.404",="-0.471",="0.563",="0.411",="0.823",="0.715",="0.260",="-0.719",="0.507",="0.169"
="Constant",="-0.521",="0.585",="0.382",="-0.109",="0.820",="0.895",="-0.076",="0.652",="0.909",="0.409",="0.950",="0.671"
="Observations",="37",="",="",="35",="",="",="37",="",="",="35",="",=""
="R-squared",="0.209",="",="",="0.316",="",="",="0.279",="",="",="0.406",="",=""
