="",="b",="se",="p"
="Female respondent",="-0.124",="0.137",="0.369"
="exercise_hi",="-0.046",="0.161",="0.777"
="Product-specific preferred flavor",="0.070",="0.127",="0.582"
="Flavor importance is moderate rather than very/extremely important",="-0.078",="0.175",="0.656"
="Sweetness is very or extremely important",="-0.161",="0.148",="0.280"
="Sugar level is very or extremely important",="0.001",="0.158",="0.995"
="Functional ingredients are very or extremely important",="0.312",="0.230",="0.177"
="Health claims are very or extremely important",="-0.019",="0.167",="0.907"
="Prior magnesium knowledge is agree or strongly agree",="-0.204",="0.144",="0.157"
="356",="0.000",=".",="."
="584",="-0.021",="0.156",="0.896"
="831",="0.016",="0.151",="0.913"
="Taste-first",="0.000",=".",="."
="Info-first",="-0.420",="0.131",="0.002"
="Constant",="0.052",="0.243",="0.832"
="Observations",="212",="",=""
="R-squared",="0.086",="",=""
