="",="b",="se",="p"
="Male",="0.000",=".",="."
="Female",="-0.526",="0.527",="0.328"
="Low exercise",="0.000",=".",="."
="High exercise",="-0.636",="0.636",="0.327"
="Male # Low exercise",="0.000",=".",="."
="Male # High exercise",="0.000",=".",="."
="Female # Low exercise",="0.000",=".",="."
="Female # High exercise",="0.654",="0.704",="0.362"
="Day 1: Selected Lemon-Lime as preferred flavor",="-0.234",="0.289",="0.426"
="Flavor importance is moderate rather than very/extremely important",="-0.763",="0.691",="0.280"
="Sweetness is very or extremely important",="-0.343",="0.274",="0.222"
="Sugar level is very or extremely important",="0.324",="0.337",="0.346"
="Functional ingredients are very or extremely important",="0.055",="0.510",="0.914"
="Health claims are very or extremely important",="-0.871",="0.526",="0.110"
="Prior magnesium knowledge is agree or strongly agree",="0.206",="0.338",="0.547"
="Constant",="0.878",="0.461",="0.068"
="Observations",="36",="",=""
="R-squared",="0.404",="",=""
