="",="b",="se",="p"
="Female respondent",="-0.577",="0.450",="0.213"
="exercise_hi",="-0.692",="0.479",="0.163"
="Day 1: Selected Lemon-Lime as preferred flavor",="-0.330",="0.542",="0.549"
="Flavor importance is moderate rather than very/extremely important",="-0.089",="0.607",="0.885"
="Sweetness is very or extremely important",="0.025",="0.450",="0.956"
="Sugar level is very or extremely important",="0.204",="0.428",="0.639"
="Functional ingredients are very or extremely important",="0.346",="0.459",="0.458"
="Health claims are very or extremely important",="0.134",="0.380",="0.727"
="Prior magnesium knowledge is agree or strongly agree",="0.510",="0.496",="0.316"
="Constant",="0.478",="0.688",="0.495"
="Observations",="32",="",=""
="R-squared",="0.296",="",=""
