H2_3b_Interact,b,se,p
Male,0.000,.,.
Female,-0.711,0.784,0.375
Low exercise,0.000,.,.
High exercise,-0.783,0.543,0.164
Male # Low exercise,0.000,.,.
Male # High exercise,0.000,.,.
Female # Low exercise,0.000,.,.
Female # High exercise,0.202,0.905,0.825
Day 1: Selected Lemon-Lime as preferred flavor,-0.345,0.555,0.541
Flavor importance is moderate rather than very/extremely important,-0.058,0.610,0.925
Sweetness is very or extremely important,-0.007,0.510,0.989
Sugar level is very or extremely important,0.190,0.444,0.674
Functional ingredients are very or extremely important,0.344,0.468,0.470
Health claims are very or extremely important,0.124,0.399,0.759
Prior magnesium knowledge is agree or strongly agree,0.523,0.510,0.317
Constant,0.563,0.812,0.496
Observations,32,,
R-squared,0.297,,
