="",="Simple",="",="",="Core",="",="",="Full",="",=""
="",="b",="se",="p",="b",="se",="p",="b",="se",="p"
="Female",="-0.221",="0.240",="0.358",="-0.183",="0.237",="0.440",="-0.177",="0.217",="0.418"
="High exercise",="-0.040",="0.226",="0.861",="-0.024",="0.232",="0.919",="-0.092",="0.224",="0.681"
="Female # High exercise",="0.137",="0.291",="0.639",="0.112",="0.293",="0.703",="0.086",="0.285",="0.763"
="584.h2_product",="0.043",="0.149",="0.774",="0.007",="0.154",="0.962",="-0.022",="0.156",="0.886"
="831.h2_product",="0.017",="0.149",="0.907",="0.016",="0.149",="0.913",="0.016",="0.151",="0.914"
="2.h2_path",="-0.396",="0.132",="0.003",="-0.395",="0.133",="0.004",="-0.420",="0.132",="0.002"
="h2_product_pref",="",="",="",="0.076",="0.129",="0.555",="0.071",="0.127",="0.578"
="Flavor importance is moderate versus other reported levels",="",="",="",="-0.009",="0.173",="0.960",="-0.065",="0.183",="0.721"
="Sweetness is very or extremely important",="",="",="",="-0.134",="0.151",="0.376",="-0.156",="0.147",="0.291"
="Sugar level is very or extremely important",="",="",="",="",="",="",="0.005",="0.156",="0.976"
="Functional ingredients are very or extremely important",="",="",="",="",="",="",="0.305",="0.226",="0.179"
="Health claims are very or extremely important",="",="",="",="",="",="",="-0.019",="0.167",="0.911"
="Prior magnesium knowledge is agree or strongly agree",="",="",="",="",="",="",="-0.208",="0.145",="0.155"
="Constant",="-0.032",="0.239",="0.893",="0.010",="0.297",="0.975",="0.083",="0.272",="0.761"
="Observations",="212",="",="",="212",="",="",="212",="",=""
="R-squared",="0.057",="",="",="0.064",="",="",="0.087",="",=""
